BadName;Bezirk;Profil;RSS_Name;Latitude;Longitude;ProfilLink;BadestelleLink;Dat;Sicht;Eco;Ente;Farbe;BSL;Algen;Wasserqualitaet;cb;Temp;PDFLink;PrognoseLink;Farb_ID;Bemerkung;Weitere_Hinweise;Wasserqualitaet_predict;Dat_predict;FARB_ID;Wasserqualitaet_lageso;p2_5;p50;p90;p95;p97_5;classification
Schmöckwitz;Treptow-Köpenick;Dahme;Schmöckwitz;52,373237;13,653285;"""Dahme - Schmöckwitz(Link zum Badegewässerprofil Dahme Schmöckwitz)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339114.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344331.php;07.07.2026;0,7;<15;<15;gruen.jpg;B215;;1;<300;20,8;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad21.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Seddinsee;Treptow-Köpenick;Dahme;Seddinsee;52,387203;13,685492;"""Dahme - Seddinsee(Link zum Badegewässerprofil Dahme Seddinsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339116.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344332.php;07.07.2026;0,9;<15;15;gruen.jpg;B220;;1;<300;20,9;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad22.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Tegeler See, Strandbad;Reinickendorf;Tegeler See;Strandbad Tegeler See;52,577838;13,245277;"""Tegler See - Freibad Tegeler See(Link zum Badegewässerprofil Freibad Tegeler See)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339124.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344343.php;13.07.2026;1,8;<15;<15;gruen.jpg;B309;;1;<300;23;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad23.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Tegeler See, gegenüber Reiswerder;Reinickendorf;Tegeler See;gegenüber Reiswerder / Tegeler See;52,568188;13,256018;"""Tegler See - gegenüber Reiswerder(Link zum Badegewässerprofil Tegeler See gegenüber Reiserwerder)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339126.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344345.php;13.07.2026;2,2;15;<15;gruen.jpg;B312;;1;<300;23,3;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad24.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Tegeler See, gegenüber Scharfenberg;Reinickendorf;Tegeler See;gegenüber Scharfenberg / Tegeler See;52,575719;13,244252;"""Tegler See - gegenüber Scharfenberg(Link zum Badegewässerprofil Tegeler See gegenüber Scharfenberg)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339125.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344348.php;13.07.2026;1,5;<15;<15;gruen.jpg;B311;;1;<300;22,8;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad25.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Tegeler See, Reiherwerder;Reinickendorf;Tegeler See;Reiherwerder / Tegeler See;52,585638;13,255193;"""Tegler See - Reiherwerder(Link zum Badegewässerprofil Tegeler See  Reiherwerder)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339128.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344344.php;13.07.2026;2,3;<15;<15;gruen.jpg;B314;;1;<300;22,7;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad26.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Tegeler See, Saatwinkel;Reinickendorf;Tegeler See;Saatwinkel / Tegeler See;52,56216;13,246842;"""Tegler See - Saatwinkel(Link zum Badegewässerprofil Tegeler See Saatwinkel)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339127.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344349.php;13.07.2026;1,6;<15;<15;gruen.jpg;B313;;1;<300;23,5;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad27.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Teufelssee;Charlottenburg-Wilmersdorf;Teufelssee;Teufelssee;52,490609;13,234497;"""Teufelssee - Teufelssee(Link zum Badegewässerprofil Teufelssee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339150.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344363.php;30.06.2026;< 1;232;30;gruen.jpg;B936;;1;<300;25,4;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad28.pdf";;1;keine;Zerkarien möglich;nicht zutreffend;;1;1;;;;;;
Wannsee, Strandbad;Steglitz-Zehlendorf;Unterhavel;Strandbad Wannsee;52,438898;13,176804;"""Unterhavel - Strandbad Wannsee(Link zum Badegewässerprofil Unterhavel Strandbad Wannsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339136.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344361.php;09.07.2026;>1,20;<15;<15;gruen.jpg;B350;;1;<300;20,5;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad36.pdf";;1;keine;Vermehrtes Wachstum von Wasserpflanzen;nicht zutreffend;;1;1;;;;;;
Weißensee, Strandbad;Pankow;Weißer See;Strandbad Weißensee;52,553957;13,465588;"""Weißer See - Seebadeanstalt Weißensee(Link zum Badegewässerprofil Weisser See)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339137.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344318.php;08.07.2026;>0,80;15;30;gruen.jpg;B910;;1;360;22;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad37.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Wendenschloss, Strandbad;Treptow-Köpenick;Dahme;Strandbad Wendenschloss;52,415144;13,600317;"""Dahme - Freibad Wendenschloss(Link zum Badegewässerprofil Freibad Wendenschloss)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339120.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344333.php;07.07.2026;0,9;<15;<15;gruen.jpg;B227;;1;<300;20,8;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad38.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
